"","org_name","created_date","type","portfolio_projects_count","portfolio_projects","affiliators","affiliators_committing_to_portfolio_projects","affiliator_commits_to_portfolio_projects","affiliators_commiting_projects","outside_committers","outside_committers_commits","projects_having_outside_commits","outside_projects","outside_projects_commits","affiliators_committing_to_outside_projects"
"1","wikimedia","2012-10-22T17:09:12Z","Non-Profit","380","MediaWiki;Semantic MediaWiki;MediaWiki Widgets;Pywikibot;translatewiki.net;Semantic Forms;MediaWiki extensions supported by WMF;Wikidata;MediaWiki extensions hosted by WMF;Wikibase","18","16","106277","94","191","280183","172","296","102022","15"
"2","apache","2012-10-22T11:26:41Z","Non-Profit","340","Apache HTTP Server;Apache Subversion;Apache OpenOffice;Apache Tomcat;Apache Ant;Apache Maven 2;log4j;SpamAssassin;Apache log4net;Apache Commons Collections","69","66","328971","127","760","2956514","298","369","94234","51"
"3","kde","2012-10-22T11:27:00Z","Non-Profit","211","KDE;Amarok;K3b;Konqueror;Kate (KDE);Kopete IM Client (KDE);KDE PIM;KDevelop;KDElibs (KDE);KTorrent","29","27","1533899","146","472","6525870","205","277","523418","25"
"4","eclipse","2012-10-22T11:26:52Z","Non-Profit","178","Eclipse IDE for Java;Eclipse Web Tools Platform (WTP);Jetty: Java based HTTP, Servlet, SPDY, WebSocket Server;Eclipse PHP Development Tools (PDT);Hudson;Eclipse Mylyn;M2Eclipse: Maven Integration for Eclipse;CDT (Eclipse);Subversive;EGit","1","1","112","1","292","479133","129","0","0","0"
"5","nasa","2017-06-01T20:41:15Z","Government","117","NASA World Wind Java SDK;OpenMDAO-Framework;MultiDop;NASA Mission Control Technologies;IDF;sitepod;RtRetrievalFramework;trick;NASA Mission Control Technologies (Web);mmt","0","0","0","0","3","2251","2","0","0","0"
"6","OWASP","2013-08-26T14:39:35Z","Non-Profit","104","OWASP Zed Attack Proxy;OWASP OWTF;owasp-esapi-java;DependencyCheck;owasp-esapi-js;Wapiti;OWASP O2 Platform;hackademic;owasp-esapi-php;OWASP Java HTML Sanitizer","7","5","2622","8","37","15767","17","33","1381","6"
"7","mozilla","2012-10-22T11:27:03Z","Non-Profit","95","Mozilla Firefox;Thunderbird;Mozilla Add-ons;Bugzilla;Mozilla Core;Mozilla Calendar;SeaMonkey;Camino;Mozilla Rhino;XULRunner","40","38","58133","50","448","234030","80","779","252243","33"
"8","lanl","2012-12-11T14:24:04Z","Government","54","NetworkX;PyGraphviz;FreeON;xcpu;spamm-miniapp;PISTON LANL;djatoka;FreePOOMA;spammpack;libcircle","8","6","6139","19","17","5607","15","117","17581","7"
"9","twitter","2012-10-22T17:14:59Z","Commercial","51","Bootstrap (Twitter);Twitter Bower;scalding;algebird;Finagle;iago;summingbird;twemproxy;hbc;ospriet","8","0","0","0","47","6482","31","29","30140","8"
"10","atlassian","2012-10-22T11:26:42Z","Commercial","50","Jitsi;Jitsi Meet;Atlassian Connector for Eclipse;jitsi-android;jitsi-videobridge;bamboo-nodejs-plugin;crowd_pam;atlassian_fugue;uniql-es;REST API Browser","5","3","4947","5","9","4129","8","39","4258","5"
